Date,Open,High,Low,Close,Adj Close,Volume,log RO,log RH,log RL,log RC
5/7/1981,0.495536,0.497768,0.495536,0.495536,0.02238,2340800,0.009051285,0.013545385,0.013606813,0.013606813
5/8/1981,0.5,0.502232,0.5,0.5,0.022581,1976800,0.008968093,0.008928059,0.008968093,0.008968093
5/11/1981,0.491071,0.491071,0.488839,0.488839,0.022077,2984800,-0.018019378,-0.022473444,-0.022574907,-0.022574907
5/12/1981,0.488839,0.495536,0.488839,0.488839,0.022077,1064000,-0.004555528,0.009051285,0,0
5/13/1981,0.488839,0.493304,0.486607,0.486607,0.021977,1226400,0,-0.004514388,-0.004576376,-0.004576376
5/14/1981,0.484375,0.484375,0.479911,0.479911,0.021674,1232000,-0.009173792,-0.018266217,-0.013856146,-0.013856146
5/15/1981,0.491071,0.497768,0.491071,0.491071,0.022178,1226400,0.01372932,0.027274705,0.02298805,0.02298805
5/18/1981,0.5,0.504464,0.5,0.5,0.022581,1041600,0.018019378,0.013362374,0.018019378,0.018019378
5/19/1981,0.493304,0.493304,0.491071,0.491071,0.022178,6356000,-0.013482482,-0.022370863,-0.018019378,-0.018019378
5/20/1981,0.506696,0.511161,0.506696,0.506696,0.022884,3320800,0.026785601,0.035558992,0.031322498,0.031322498
5/21/1981,0.535714,0.537946,0.535714,0.535714,0.024194,8052800,0.055689218,0.051073574,0.055689218,0.055689218
5/22/1981,0.560268,0.564732,0.560268,0.560268,0.025303,7856800,0.044814804,0.048593099,0.044814804,0.044814804
5/26/1981,0.560268,0.560268,0.558036,0.558036,0.025203,21336000,0,-0.007936042,-0.003991764,-0.003991764
5/27/1981,0.589286,0.591518,0.589286,0.589286,0.026614,37374400,0.050496394,0.054276873,0.054488158,0.054488158
5/28/1981,0.589286,0.591518,0.589286,0.589286,0.026614,18496800,0,0,0,0
5/29/1981,0.591518,0.59375,0.591518,0.591518,0.026715,14845600,0.00378048,0.003766241,0.00378048,0.00378048
6/1/1981,0.591518,0.59375,0.591518,0.591518,0.026715,12812800,0,0,0,0
6/2/1981,0.564732,0.564732,0.5625,0.5625,0.025404,10108000,-0.046340832,-0.050107073,-0.05030098,-0.05030098
6/3/1981,0.5625,0.566964,0.5625,0.5625,0.025404,9861600,-0.003960148,0.003944527,0,0
6/4/1981,0.573661,0.575893,0.573661,0.573661,0.025908,14016800,0.019647495,0.01562607,0.019647495,0.019647495
6/5/1981,0.566964,0.566964,0.564732,0.564732,0.025505,14420000,-0.01174282,-0.01562607,-0.015687347,-0.015687347
6/8/1981,0.546875,0.546875,0.544643,0.544643,0.024598,23374400,-0.036075553,-0.036075553,-0.036220748,-0.036220748
6/9/1981,0.555804,0.558036,0.555804,0.555804,0.025102,29898400,0.016195457,0.020203219,0.02028518,0.02028518
6/10/1981,0.5625,0.569196,0.5625,0.5625,0.025404,6305600,0.01197542,0.019801362,0.01197542,0.01197542
6/11/1981,0.587054,0.589286,0.587054,0.587054,0.026513,9744000,0.042725675,0.034686796,0.042725675,0.042725675
6/12/1981,0.582589,0.582589,0.580357,0.580357,0.026211,6451200,-0.007634845,-0.011429671,-0.011473377,-0.011473377
6/15/1981,0.580357,0.580357,0.578125,0.578125,0.02611,35940800,-0.003838532,-0.003838532,-0.003853323,-0.003853323
6/16/1981,0.569196,0.569196,0.566964,0.566964,0.025606,9312800,-0.019418593,-0.019418593,-0.019494299,-0.019494299
6/17/1981,0.560268,0.560268,0.558036,0.558036,0.025203,6893600,-0.015809598,-0.015809598,-0.015872333,-0.015872333
6/18/1981,0.558036,0.560268,0.555804,0.555804,0.025102,5762400,-0.003991764,0,-0.004007762,-0.004007762
6/19/1981,0.542411,0.542411,0.540179,0.540179,0.024396,6876800,-0.02839946,-0.032391224,-0.028515148,-0.028515148
6/22/1981,0.522321,0.522321,0.520089,0.520089,0.023489,2710400,-0.037741675,-0.037741675,-0.037900615,-0.037900615
6/23/1981,0.529018,0.533482,0.529018,0.529018,0.023892,3757600,0.012740116,0.021142989,0.017022507,0.017022507
6/24/1981,0.520089,0.520089,0.515625,0.515625,0.023287,5756800,-0.017022507,-0.02542538,-0.025642701,-0.025642701
6/25/1981,0.526786,0.529018,0.526786,0.526786,0.023791,6064800,0.012794443,0.017022507,0.021414637,0.021414637
6/26/1981,0.524554,0.524554,0.520089,0.520089,0.023489,5947200,-0.004246016,-0.00847408,-0.012794443,-0.012794443
6/29/1981,0.506696,0.506696,0.502232,0.502232,0.022682,2648800,-0.034637159,-0.034637159,-0.034937786,-0.034937786
6/30/1981,0.466518,0.466518,0.464286,0.464286,0.020969,8976800,-0.082614613,-0.082614613,-0.078561423,-0.078561423
7/1/1981,0.462054,0.462054,0.459821,0.459821,0.020767,42616000,-0.009614837,-0.009614837,-0.009663458,-0.009663458
7/2/1981,0.459821,0.462054,0.459821,0.459821,0.020767,7571200,-0.004844484,0,0,0
7/6/1981,0.448661,0.448661,0.444196,0.444196,0.020061,4132800,-0.024569692,-0.029414176,-0.034571377,-0.034571377
7/7/1981,0.448661,0.453125,0.448661,0.448661,0.020263,3959200,0,0.009900434,0.010001685,0.010001685
7/8/1981,0.466518,0.46875,0.466518,0.466518,0.021069,4155200,0.039029013,0.033901552,0.039029013,0.039029013
7/9/1981,0.433036,0.433036,0.430804,0.430804,0.019456,8220800,-0.074475739,-0.079248712,-0.079643374,-0.079643374
7/10/1981,0.399554,0.399554,0.397321,0.397321,0.017944,13792800,-0.08047194,-0.08047194,-0.080908712,-0.080908712
7/13/1981,0.40625,0.408482,0.40625,0.40625,0.018347,11435200,0.016619809,0.022098925,0.022224215,0.022224215
7/14/1981,0.424107,0.428571,0.424107,0.424107,0.019154,4944800,0.043017048,0.048008569,0.043017048,0.043017048
